trip_id,pickup_datetime,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,passenger_count,trip_duration_minutes,trip_distance_miles,pickup_zone,dropoff_zone,traffic_level,weather_condition,trip_type,surge_multiplier,fare_amount
TRIP_00022,2024-06-12 22:35:00,40.767547,-73.975185,40.76405,-73.98281,2,2,0.47,midtown,midtown,light,rain,airport,2.37,122.66
TRIP_00023,2024-06-24 10:53:00,40.715966,-74.000501,40.785916,-73.9522,1,13.1,5.46,financial_district,upper_east,light,clear,standard,1.01,37.21
TRIP_00024,2024-01-09 10:25:00,40.775731,-73.958183,40.770747,-73.953548,1,2,0.42,upper_east,upper_east,light,clear,standard,1.06,18.65
TRIP_00025,2024-01-17 06:58:00,40.721034,-73.989373,40.732749,-73.985478,1,3.8,0.83,downtown,downtown,heavy,rain,standard,1.41,39.2
TRIP_00026,2024-03-21 06:41:00,40.770507,-73.970747,40.733919,-73.991821,1,6.6,2.76,upper_west,downtown,light,clear,standard,1.21,33.5
TRIP_00027,2024-06-13 14:09:00,40.789097,-73.955242,40.782234,-73.961608,2,2,0.58,upper_east,upper_east,light,clear,standard,1.03,17.69
TRIP_00028,2024-02-05 07:47:00,40.737109,-73.985927,40.721957,-73.990168,1,4.8,1.07,downtown,downtown,heavy,clear,standard,1.92,63.46
TRIP_00029,2024-05-17 08:47:00,40.727492,-73.987483,40.73713,-73.986826,1,2.0,0.67,downtown,downtown,moderate,clear,standard,1.88,41.53
TRIP_00030,2024-04-19 18:25:00,40.777763,-73.957134,40.780912,-73.951171,3,2,0.38,upper_east,upper_east,heavy,fog,standard,1.1,37.98
TRIP_00031,2024-02-26 04:32:00,40.771889,-73.97634,40.77638,-73.973102,1,2,0.35,upper_west,upper_west,light,snow,standard,2.05,55.82
TRIP_00032,2024-01-24 01:55:00,40.714701,-73.995896,40.703549,-73.997482,1,2.3,0.78,financial_district,financial_district,moderate,fog,standard,1.23,29.1
TRIP_00033,2024-02-09 20:10:00,40.817168,-73.95142,40.785091,-73.987938,2,13.2,2.93,harlem,upper_west,heavy,rain,standard,2.34,112.57
TRIP_00034,2024-06-01 02:24:00,40.788108,-73.988174,40.789001,-73.970988,1,2.2,0.9,upper_west,upper_west,light,clear,standard,1.33,32.81
TRIP_00035,2024-06-01 14:33:00,40.785832,-73.954208,40.779888,-73.968849,3,2.6,0.87,upper_east,upper_east,moderate,clear,standard,1.12,26.14
TRIP_00036,2024-05-21 00:43:00,40.812364,-73.957978,40.814019,-73.958545,1,2,0.12,harlem,harlem,moderate,rain,standard,2.48,47.9
TRIP_00037,2024-01-30 21:56:00,40.736256,-73.981055,40.785068,-73.962475,1,8.4,3.51,downtown,upper_east,light,snow,standard,2.36,89.72
TRIP_00038,2024-06-13 10:07:00,40.770227,-73.960627,40.772376,-73.967649,1,2,0.4,upper_east,upper_east,moderate,rain,shared,1.56,26.5
TRIP_00039,2024-04-21 05:29:00,40.704472,-73.991103,40.719398,-74.018705,6,5.3,1.78,financial_district,financial_district,moderate,clear,standard,1.17,38.34
TRIP_00040,2024-03-08 16:48:00,40.762588,-73.976085,40.762551,-73.978314,1,2,0.12,midtown,midtown,heavy,clear,shared,1.89,35.9
TRIP_00041,2024-05-09 03:55:00,40.805548,-73.956238,40.807067,-73.948327,5,2,0.43,harlem,harlem,light,fog,standard,1.16,19.65
TRIP_00042,2024-03-17 20:32:00,40.733695,-73.996748,40.766451,-73.971004,1,7.9,2.63,downtown,midtown,moderate,rain,shared,2.3,64.67
TRIP_00043,2024-02-09 11:48:00,40.757529,-73.973789,40.803008,-73.948117,2,8.2,3.42,midtown,harlem,light,fog,airport,1.47,90.04
TRIP_00044,2024-05-15 00:38:00,40.771128,-73.952706,40.739994,-73.980067,4,6.2,2.58,upper_east,downtown,light,rain,airport,1.37,97.35
TRIP_00045,2024-01-05 03:59:00,40.789081,-73.957877,40.783434,-73.957637,2,2,0.39,upper_east,upper_east,light,clear,standard,1.77,36.76
TRIP_00046,2024-03-19 07:03:00,40.761038,-73.978781,40.80807,-73.95732,1,10.3,3.44,midtown,harlem,moderate,rain,standard,1.32,73.67
TRIP_00047,2024-01-21 02:46:00,40.777012,-73.978202,40.778749,-73.971917,2,2,0.35,upper_west,upper_west,light,rain,standard,1.93,52.98
TRIP_00048,2024-01-18 17:49:00,40.752941,-73.971468,40.755165,-73.980817,1,3.1,0.51,midtown,midtown,severe,clear,standard,1.36,58.37
TRIP_00049,2024-02-02 21:30:00,40.722561,-73.996962,40.732817,-73.996362,1,2,0.71,downtown,downtown,light,snow,standard,1.26,25.54
TRIP_00050,2024-02-12 08:33:00,40.723379,-73.994428,40.721774,-73.997587,1,2,0.2,downtown,downtown,heavy,clear,standard,2.04,49.61
TRIP_00051,2024-04-18 06:59:00,40.732558,-73.998365,40.768417,-73.988778,2,6.1,2.53,downtown,midtown,light,rain,standard,1.31,37.66
TRIP_00052,2024-03-20 12:42:00,40.812365,-73.952622,40.814949,-73.959266,3,2,0.39,harlem,harlem,light,rain,standard,1.8,27.0
TRIP_00053,2024-04-05 14:57:00,40.730652,-73.995151,40.727546,-73.999599,1,2,0.32,downtown,downtown,light,clear,standard,1.89,26.32
TRIP_00054,2024-04-25 03:15:00,40.765783,-73.980031,40.760742,-73.978263,1,2,0.36,midtown,midtown,light,clear,standard,1.11,24.59
TRIP_00055,2024-01-17 10:01:00,40.727122,-73.98027,40.724745,-73.997964,1,2.3,0.94,downtown,downtown,light,clear,standard,1.09,16.52
TRIP_00056,2024-05-21 07:37:00,40.751605,-73.97951,40.769648,-73.987759,3,5.9,1.32,midtown,midtown,heavy,fog,airport,1.39,118.56
TRIP_00057,2024-01-02 02:45:00,40.818588,-73.948865,40.8056,-73.94461,1,2.2,0.92,harlem,harlem,light,clear,standard,1.07,18.06
TRIP_00058,2024-01-16 07:04:00,40.705773,-74.002563,40.709623,-74.004022,1,2,0.28,financial_district,financial_district,moderate,clear,standard,2.48,52.29
TRIP_00059,2024-03-25 02:32:00,40.755093,-73.97637,40.781913,-73.980568,3,4.5,1.87,midtown,upper_west,light,clear,airport,1.29,70.19
TRIP_00060,2024-06-20 15:13:00,40.738767,-73.996375,40.734822,-73.988511,2,2,0.49,downtown,downtown,moderate,clear,standard,1.05,16.2
TRIP_00061,2024-02-03 23:59:00,40.733304,-73.989539,40.737544,-73.992151,1,2,0.32,downtown,downtown,moderate,clear,standard,1.3,28.17
TRIP_00062,2024-05-27 15:15:00,40.774644,-73.972009,40.780871,-73.971871,4,2,0.43,upper_west,upper_west,moderate,clear,standard,1.1,19.31
TRIP_00063,2024-04-14 06:06:00,40.712401,-74.003996,40.735772,-73.996967,2,4.0,1.66,financial_district,downtown,light,clear,standard,1.17,29.92
TRIP_00064,2024-03-31 13:26:00,40.776842,-73.973575,40.786929,-73.98745,1,2.4,1.01,upper_west,upper_west,light,rain,standard,2.08,52.88
TRIP_00065,2024-01-14 21:41:00,40.813879,-73.949146,40.806914,-73.956368,1,2.8,0.61,harlem,harlem,heavy,rain,standard,2.42,65.32
TRIP_00066,2024-01-26 01:25:00,40.810118,-73.947771,40.817442,-73.941358,3,2,0.61,harlem,harlem,light,rain,standard,1.23,24.07
TRIP_00067,2024-03-27 03:15:00,40.758483,-73.975271,40.788511,-73.960983,2,5.3,2.21,midtown,upper_east,light,fog,standard,1.28,47.19
TRIP_00068,2024-05-17 14:08:00,40.781826,-73.98202,40.776704,-73.973943,1,2,0.55,upper_west,upper_west,light,clear,standard,1.92,31.48
TRIP_00069,2024-02-16 08:29:00,40.76475,-73.980956,40.759049,-73.987183,1,2,0.51,midtown,midtown,moderate,clear,shared,1.54,31.41
TRIP_00070,2024-01-20 14:51:00,40.720262,-73.986729,40.739221,-73.997027,6,4.3,1.42,downtown,downtown,moderate,clear,standard,1.6,35.37
TRIP_00071,2024-01-26 01:41:00,40.724198,-73.982039,40.723814,-73.999269,1,2.2,0.9,downtown,downtown,light,rain,standard,1.68,37.54
TRIP_00072,2024-01-04 02:59:00,40.758015,-73.978807,40.753639,-73.972764,1,2,0.44,midtown,midtown,moderate,clear,standard,1.12,26.54
TRIP_00073,2024-02-12 13:31:00,40.784319,-73.976822,40.774439,-73.985379,1,2.4,0.82,upper_west,upper_west,moderate,clear,standard,1.05,20.83
TRIP_00074,2024-02-24 12:57:00,40.701989,-74.012705,40.787114,-73.953396,1,16.0,6.65,financial_district,upper_east,light,rain,standard,2.34,129.45
TRIP_00075,2024-04-07 00:24:00,40.774158,-73.969469,40.781661,-73.961572,1,2,0.66,upper_east,upper_east,moderate,rain,standard,1.57,52.35
TRIP_00076,2024-04-26 09:27:00,40.812483,-73.951812,40.808723,-73.954111,1,2,0.29,harlem,harlem,severe,rain,airport,1.73,134.29
TRIP_00077,2024-05-22 21:45:00,40.778504,-73.989551,40.780833,-73.97733,2,2,0.66,upper_west,upper_west,light,clear,luxury,1.16,38.06
TRIP_00078,2024-02-09 06:18:00,40.750368,-73.971714,40.76153,-73.984519,2,3.1,1.02,midtown,midtown,moderate,rain,standard,1.02,27.09
TRIP_00079,2024-01-15 18:47:00,40.737478,-73.988052,40.733301,-73.996493,1,3.2,0.53,downtown,downtown,severe,clear,standard,1.07,36.12
TRIP_00080,2024-01-16 23:20:00,40.701656,-74.001905,40.707786,-74.011339,1,2,0.65,financial_district,financial_district,light,snow,standard,1.71,46.11
TRIP_00081,2024-01-13 18:30:00,40.734651,-73.995701,40.725245,-73.988098,1,2.3,0.76,downtown,downtown,moderate,clear,standard,2.16,52.57
TRIP_00082,2024-05-15 05:03:00,40.734564,-73.99009,40.728697,-73.995072,2,2,0.48,downtown,downtown,moderate,rain,standard,1.89,42.52
TRIP_00083,2024-01-21 05:04:00,40.738346,-73.997264,40.70892,-74.014446,2,5.3,2.22,downtown,financial_district,light,snow,airport,1.99,165.83
TRIP_00084,2024-06-21 07:25:00,40.704993,-74.005317,40.719753,-73.991678,3,3.7,1.25,financial_district,financial_district,moderate,rain,standard,1.85,60.91
TRIP_00085,2024-05-25 07:37:00,40.733948,-73.994053,40.719421,-73.991672,2,4.6,1.01,downtown,financial_district,heavy,rain,standard,2.24,107.48
TRIP_00086,2024-06-07 02:26:00,40.8046,-73.957589,40.813926,-73.953203,1,2,0.68,harlem,harlem,light,clear,standard,1.79,29.05
TRIP_00087,2024-05-29 18:33:00,40.78772,-73.957683,40.770488,-73.952598,1,3.7,1.22,upper_east,upper_east,moderate,rain,shared,2.2,60.69
TRIP_00088,2024-03-07 06:42:00,40.815344,-73.951961,40.81255,-73.942526,1,2.4,0.53,harlem,harlem,heavy,rain,standard,2.11,48.28
TRIP_00089,2024-03-21 07:16:00,40.777092,-73.984255,40.774672,-73.989158,1,2,0.31,upper_west,upper_west,moderate,fog,standard,2.02,49.97
TRIP_00090,2024-02-03 21:41:00,40.785727,-73.968212,40.787582,-73.951105,1,2.7,0.9,upper_east,upper_east,moderate,rain,luxury,1.35,81.53
TRIP_00091,2024-04-27 10:59:00,40.712155,-74.004619,40.703531,-74.013385,1,2,0.75,financial_district,financial_district,light,rain,standard,2.45,56.16
TRIP_00092,2024-01-03 14:39:00,40.739898,-73.996522,40.735165,-73.98608,1,2,0.64,downtown,downtown,light,snow,standard,1.81,37.39
TRIP_00093,2024-01-26 02:34:00,40.75183,-73.972451,40.75259,-73.972225,2,2,0.05,midtown,midtown,moderate,snow,standard,1.83,57.36
TRIP_00094,2024-05-09 08:08:00,40.777454,-73.964805,40.709918,-74.017569,1,16.3,5.42,upper_east,financial_district,moderate,rain,airport,1.74,208.6
TRIP_00095,2024-03-03 11:18:00,40.766494,-73.983044,40.761315,-73.984659,2,2,0.37,midtown,midtown,moderate,rain,airport,2.3,127.46
TRIP_00096,2024-04-22 17:45:00,40.783949,-73.956397,40.785054,-73.966828,1,3.3,0.55,upper_east,upper_east,severe,rain,airport,1.19,116.49
TRIP_00097,2024-06-05 20:33:00,40.703215,-73.995461,40.810149,-73.959872,5,18.3,7.62,financial_district,harlem,light,clear,standard,1.08,49.68
TRIP_00098,2024-03-17 21:06:00,40.765597,-73.98786,40.780825,-73.97074,4,3.3,1.38,midtown,upper_west,light,rain,standard,2.41,80.54
TRIP_00099,2024-01-30 03:47:00,40.726019,-73.985837,40.731643,-73.993082,3,2,0.54,downtown,downtown,light,clear,luxury,1.29,45.62
TRIP_00100,2024-02-09 08:18:00,40.735165,-73.999508,40.726472,-73.990227,1,3.5,0.77,downtown,downtown,heavy,rain,standard,2.5,88.56
TRIP_00101,2024-02-23 22:21:00,40.753272,-73.974104,40.754415,-73.988352,1,2,0.75,midtown,midtown,light,rain,shared,1.23,25.43
TRIP_00102,2024-06-24 20:54:00,40.778395,-73.957229,40.775484,-73.95032,1,2,0.41,upper_east,upper_east,moderate,rain,standard,1.05,24.47
TRIP_00103,2024-05-09 15:16:00,40.717287,-74.005804,40.753711,-73.972628,2,9.2,3.06,financial_district,midtown,moderate,rain,standard,1.94,71.01
TRIP_00104,2024-06-11 13:53:00,40.788417,-73.957667,40.70963,-74.016481,1,15.0,6.26,upper_east,financial_district,light,clear,standard,1.15,46.75
TRIP_00105,2024-01-01 10:49:00,40.75538,-73.974049,40.759104,-73.989768,1,2.1,0.86,midtown,midtown,light,clear,standard,1.09,21.71
TRIP_00106,2024-06-12 08:10:00,40.815597,-73.959208,40.802099,-73.955159,1,5.7,0.96,harlem,harlem,severe,clear,standard,2.05,78.62
TRIP_00107,2024-04-23 17:45:00,40.776529,-73.979646,40.777013,-73.989336,1,2,0.51,upper_west,upper_west,moderate,clear,standard,2.03,49.67
TRIP_00108,2024-05-23 00:07:00,40.70335,-74.016863,40.71413,-74.019052,1,2.3,0.75,financial_district,financial_district,moderate,clear,standard,1.26,27.76
TRIP_00109,2024-06-25 04:34:00,40.706789,-73.995555,40.717896,-74.003572,1,2.6,0.88,financial_district,financial_district,moderate,clear,standard,1.22,26.27
TRIP_00110,2024-04-04 18:35:00,40.754942,-73.986809,40.724384,-73.980483,2,9.6,2.14,midtown,downtown,heavy,clear,standard,1.75,96.67
TRIP_00111,2024-02-02 01:19:00,40.774569,-73.950073,40.713007,-74.014014,1,13.0,5.41,upper_east,financial_district,light,clear,standard,1.46,70.4
TRIP_00112,2024-04-01 06:43:00,40.764854,-73.98149,40.757421,-73.970247,1,2,0.78,midtown,midtown,light,rain,standard,2.09,48.53
TRIP_00113,2024-06-19 03:22:00,40.738014,-73.991566,40.731847,-73.981753,1,2,0.67,downtown,downtown,light,clear,standard,1.04,18.75
TRIP_00114,2024-04-14 19:47:00,40.753594,-73.985249,40.77362,-73.952912,3,9.8,2.19,midtown,upper_east,heavy,clear,standard,1.77,111.86
TRIP_00115,2024-02-11 05:56:00,40.77327,-73.982178,40.705163,-74.000298,1,11.5,4.8,upper_west,financial_district,light,snow,shared,1.68,84.29
TRIP_00116,2024-02-15 23:59:00,40.773395,-73.959605,40.786578,-73.961382,2,2.2,0.92,upper_east,upper_east,light,rain,standard,1.25,32.54
TRIP_00117,2024-04-15 21:55:00,40.813276,-73.950507,40.766113,-73.978293,1,10.7,3.57,harlem,midtown,moderate,clear,standard,1.02,32.16
TRIP_00118,2024-03-09 05:50:00,40.800787,-73.957558,40.818678,-73.953677,1,3.0,1.25,harlem,harlem,light,clear,luxury,1.97,87.96
TRIP_00119,2024-01-28 12:55:00,40.712782,-73.993962,40.710312,-74.005335,1,2,0.62,financial_district,financial_district,moderate,clear,standard,1.21,23.72
TRIP_00120,2024-04-30 07:12:00,40.789398,-73.988122,40.778875,-73.972637,2,3.3,1.09,upper_west,upper_west,moderate,rain,shared,2.02,49.33
TRIP_00121,2024-03-30 09:52:00,40.767378,-73.978588,40.768619,-73.976209,2,2,0.15,midtown,midtown,heavy,clear,standard,1.98,73.03
TRIP_00122,2024-02-27 00:42:00,40.769988,-73.989036,40.728138,-73.982585,2,7.0,2.91,midtown,downtown,light,rain,airport,1.61,121.03
TRIP_00123,2024-03-25 08:55:00,40.716157,-73.997131,40.778712,-73.973643,1,13.5,4.49,financial_district,upper_west,moderate,clear,standard,1.55,76.64
TRIP_00124,2024-03-30 20:32:00,40.777771,-73.981026,40.777465,-73.985455,2,2,0.23,upper_west,upper_west,light,rain,standard,1.7,36.47
TRIP_00125,2024-06-22 17:21:00,40.710382,-74.005625,40.706825,-74.008594,1,2,0.29,financial_district,financial_district,heavy,clear,standard,2.15,70.54
TRIP_00126,2024-01-30 08:11:00,40.73911,-73.999635,40.720151,-73.987051,3,8.8,1.47,downtown,downtown,severe,clear,standard,2.4,112.89
TRIP_00127,2024-03-08 01:06:00,40.729717,-73.994864,40.726146,-73.983939,1,2,0.62,downtown,downtown,light,clear,standard,1.27,22.2
TRIP_00128,2024-04-21 11:46:00,40.773623,-73.956378,40.780503,-73.955819,1,2,0.48,upper_east,upper_east,light,clear,shared,1.15,17.71
TRIP_00129,2024-04-21 19:32:00,40.700868,-74.001005,40.732032,-73.983616,1,14.0,2.34,financial_district,downtown,severe,clear,standard,1.62,128.17
TRIP_00130,2024-05-27 06:16:00,40.707068,-74.012894,40.725496,-73.983548,1,6.0,2.0,financial_district,downtown,moderate,rain,standard,1.68,53.5
TRIP_00131,2024-01-01 16:59:00,40.734737,-73.982744,40.721914,-73.999527,1,3.7,1.25,downtown,downtown,moderate,rain,standard,1.59,36.82
TRIP_00132,2024-06-24 23:47:00,40.819756,-73.957271,40.808086,-73.951436,6,2.1,0.86,harlem,harlem,light,clear,standard,1.03,17.96
TRIP_00133,2024-06-20 06:23:00,40.775483,-73.988412,40.787884,-73.986163,1,2.1,0.87,upper_west,upper_west,light,clear,standard,1.16,19.49
TRIP_00134,2024-01-18 21:58:00,40.774674,-73.9592,40.813018,-73.949341,2,6.5,2.7,upper_east,harlem,light,clear,luxury,1.2,67.61
TRIP_00135,2024-03-21 21:54:00,40.709304,-74.018196,40.719153,-74.014741,1,2.1,0.7,financial_district,financial_district,moderate,clear,standard,1.14,20.61
TRIP_00136,2024-03-17 16:19:00,40.813298,-73.944091,40.774693,-73.982014,3,8.0,3.33,harlem,upper_west,light,fog,standard,1.25,41.66
TRIP_00137,2024-03-24 12:44:00,40.771782,-73.954895,40.786521,-73.954359,1,3.1,1.02,upper_east,upper_east,moderate,clear,standard,1.11,26.69
TRIP_00138,2024-05-21 04:12:00,40.781076,-73.98389,40.778944,-73.977988,1,2,0.34,upper_west,upper_west,light,fog,luxury,1.26,51.88
TRIP_00139,2024-06-19 12:43:00,40.802327,-73.943651,40.817559,-73.942639,1,3.2,1.05,harlem,harlem,moderate,rain,standard,1.6,31.95
TRIP_00140,2024-02-14 19:36:00,40.776922,-73.950488,40.78645,-73.96735,1,6.6,1.1,upper_east,upper_east,severe,fog,standard,2.15,115.03
TRIP_00141,2024-04-13 17:53:00,40.707973,-74.015609,40.701363,-74.019226,1,2,0.49,financial_district,financial_district,moderate,fog,shared,1.65,34.2
TRIP_00142,2024-03-18 09:13:00,40.77879,-73.987887,40.774321,-73.977608,1,2.8,0.62,upper_west,upper_west,heavy,clear,standard,1.69,60.63
TRIP_00143,2024-05-28 19:41:00,40.771156,-73.956099,40.724784,-73.997155,1,11.6,3.86,upper_east,downtown,moderate,clear,standard,1.09,61.66
TRIP_00144,2024-04-23 14:43:00,40.766279,-73.977696,40.762478,-73.979459,3,2,0.28,midtown,midtown,moderate,clear,standard,1.06,20.97
TRIP_00145,2024-05-10 15:50:00,40.816551,-73.945328,40.750221,-73.981677,1,14.9,4.96,harlem,midtown,moderate,clear,standard,1.14,43.59
TRIP_00146,2024-06-17 02:18:00,40.720242,-73.995176,40.816031,-73.940808,1,17.3,7.21,downtown,harlem,light,clear,standard,1.25,62.26
TRIP_00147,2024-03-26 02:52:00,40.753001,-73.983506,40.77952,-73.982482,2,4.4,1.83,midtown,upper_west,light,clear,airport,1.29,73.72
TRIP_00148,2024-02-27 06:09:00,40.713763,-74.006872,40.716817,-74.018847,1,3.0,0.66,financial_district,financial_district,heavy,clear,standard,1.27,30.31
TRIP_00149,2024-01-12 07:30:00,40.721333,-73.989632,40.734749,-73.989756,1,4.2,0.93,downtown,downtown,heavy,clear,standard,1.11,33.38
TRIP_00150,2024-01-19 14:26:00,40.81913,-73.94525,40.805931,-73.953006,1,3.0,1.0,harlem,harlem,moderate,rain,standard,1.15,23.43
TRIP_00151,2024-05-27 06:45:00,40.805301,-73.959581,40.819357,-73.954091,1,3.0,1.01,harlem,harlem,moderate,rain,standard,1.18,24.15
TRIP_00152,2024-04-08 15:25:00,40.762878,-73.979394,40.76937,-73.974026,1,2,0.53,midtown,midtown,light,fog,standard,1.22,25.85
TRIP_00153,2024-02-07 20:44:00,40.702562,-74.009852,40.754492,-73.982557,1,11.6,3.86,financial_district,midtown,moderate,clear,shared,1.07,27.53
TRIP_00154,2024-04-18 07:11:00,40.817738,-73.947084,40.816319,-73.942773,1,2,0.25,harlem,harlem,severe,fog,standard,1.69,55.46
TRIP_00155,2024-05-12 14:03:00,40.735529,-73.986877,40.730901,-73.980307,1,2.1,0.47,downtown,downtown,heavy,clear,standard,1.22,29.67
TRIP_00156,2024-03-04 03:29:00,40.760117,-73.973186,40.730845,-73.988193,1,5.2,2.17,midtown,downtown,light,clear,standard,1.26,41.4
TRIP_00157,2024-06-19 16:35:00,40.723201,-73.990769,40.724934,-73.985471,1,2,0.3,downtown,downtown,heavy,clear,airport,1.06,44.29
TRIP_00158,2024-03-22 14:39:00,40.81232,-73.95624,40.815676,-73.948915,1,2,0.45,harlem,harlem,light,rain,standard,1.3,21.26
TRIP_00159,2024-05-09 13:53:00,40.726539,-73.997022,40.737533,-73.980073,2,2.8,1.17,downtown,downtown,light,clear,airport,1.18,38.43
TRIP_00160,2024-04-24 05:47:00,40.783912,-73.989936,40.77711,-73.974116,1,2.3,0.95,upper_west,upper_west,light,clear,standard,1.02,21.98
TRIP_00161,2024-04-25 08:48:00,40.761213,-73.97793,40.7661,-73.984604,1,2.9,0.49,midtown,midtown,severe,clear,standard,1.5,67.8
TRIP_00162,2024-06-12 08:49:00,40.735772,-73.989655,40.722949,-73.993436,1,4.1,0.91,downtown,downtown,heavy,clear,standard,2.1,68.04
TRIP_00163,2024-05-04 20:15:00,40.782851,-73.961575,40.785713,-73.967633,1,2,0.37,upper_east,upper_east,moderate,rain,standard,1.88,48.35
TRIP_00164,2024-04-22 02:45:00,40.77669,-73.969476,40.786634,-73.964539,4,2,0.73,upper_east,upper_east,light,clear,standard,1.13,25.4
TRIP_00165,2024-03-01 08:21:00,40.773722,-73.953947,40.779659,-73.96733,1,2.4,0.81,upper_east,upper_east,moderate,rain,standard,2.09,69.11
TRIP_00166,2024-05-18 02:08:00,40.762205,-73.987293,40.783139,-73.950868,1,5.7,2.39,midtown,upper_east,light,clear,standard,1.25,49.68
TRIP_00167,2024-04-08 22:09:00,40.805439,-73.944812,40.815534,-73.958693,1,2.4,1.01,harlem,harlem,light,clear,shared,1.04,13.94
TRIP_00168,2024-02-24 02:26:00,40.776947,-73.972003,40.783276,-73.970732,1,2,0.44,upper_west,upper_west,light,fog,standard,1.26,38.31
TRIP_00169,2024-03-25 17:29:00,40.775131,-73.976917,40.781307,-73.980721,1,2.8,0.47,upper_west,upper_west,severe,rain,standard,1.23,55.98
TRIP_00170,2024-01-16 06:53:00,40.787012,-73.978776,40.772295,-73.972797,2,3.2,1.06,upper_west,upper_west,moderate,clear,standard,1.02,21.14
TRIP_00171,2024-04-09 18:44:00,40.703315,-73.991629,40.81338,-73.950754,1,35.6,7.9,financial_district,harlem,heavy,rain,standard,1.77,227.49
TRIP_00172,2024-04-07 15:00:00,40.771039,-73.954274,40.775172,-73.966706,1,2,0.71,upper_east,upper_east,light,rain,standard,2.32,59.76
TRIP_00173,2024-03-17 12:54:00,40.774776,-73.980975,40.81544,-73.959457,3,7.3,3.03,upper_west,harlem,light,clear,standard,1.15,36.17
TRIP_00174,2024-05-19 19:57:00,40.766442,-73.982392,40.73929,-73.995925,2,9.0,2.01,midtown,downtown,heavy,clear,standard,1.95,123.76
